Nick;Platforma;Ocena;Data1;Godzina2;LiczbaKomentarzy;Tresc
Krzysztof Zielinski;Google;5,0;2022-01-10;8:15;14,00;Firma zapewnia dobre warunki pracy, ale procesy moglyby byc bardziej zoptymalizowane.
Piotr Kaczmarek;Google;3,6;2023-06-23;9:30;47,00;Jestem zadowolony z produktow, choc czas dostawy moglby byc krotszy.
Joanna Lewandowska;Google;4,9;2022-09-15;12:45;11,00;Profesjonalne podejscie do klienta, wszystko odbylo sie sprawnie.
Piotr Kaczmarek;Opineo;4,6;2022-03-17;10:02;18,00;Obsluga klienta bardzo pomocna, ale ceny sa dosc wysokie.
Tomasz Wojcik;Facebook;3,2;2023-05-19;11:30;48,00;Swietne miejsce pracy z duzymi mozliwosciami.
Maria Nowak;Facebook;4,6;2022-04-12;13:20;41,00;Produkty firmy Fabryka Danfoss w Tuchomie charakteryzuja sie wysoka jakoscia i sa niezawodne. Obsluga klienta bardzo pomocna. Polecam!
Krzysztof Zielinski;Facebook;5,0;2022-11-26;10:45;15,00;Produkty Danfoss sa niezawodne, ale obsluga magazynowa moglaby byc szybsza.
Piotr Kaczmarek;Google;4,0;2023-10-09;14:00;29,00;Dobre doswiadczenia z systemem chlodzenia, ale czasami brakuje wsparcia technicznego.
Maria Nowak;Google;3,9;2023-02-03;16:30;17,00;Zawsze moglem liczyc na pomoc ze strony obslugi klienta.
Maria Nowak;Google;4,3;2022-08-22;9:10;37,00;Zakupy w Danfoss to gwarancja jakosci, chociaz ceny sa wyzsze niz u konkurencji.
Jan Kowalski;Opineo;3,8;2022-05-25;7:00;35,00;Dobra firma, ale potrzebuja poprawy w zakresie logistyki.
Magdalena Szymanska;Google;3,2;2022-07-11;8:50;10,00;Polecam, choc czasami dostawy sa opoznione.
Tomasz Wojcik;Facebook;3,9;2023-12-16;11:55;46,00;Zespol jest profesjonalny, ale brakuje im odpowiednich zasobow.
Joanna Lewandowska;Ceneo;3,9;2023-06-14;14:45;7,00;Pozytywne doswiadczenie, jednak chcialbym, zeby firma bardziej inwestowala w innowacje.
Jan Kowalski;Opineo;4,7;2023-04-20;13:05;37,00;Jakosc produktow Danfoss stoi na wysokim poziomie, ale obsluga klienta wymaga poprawy.
Krzysztof Zielinski;Facebook;4,1;2022-09-07;10:30;36,00;Zakupilem produkty w Danfoss i jestem zadowolony z ich dzialania, ale czas oczekiwania na wysylke moglby byc krotszy.
Anonimowy uzytkownik;Facebook;4,4;2022-10-08;12:00;6,00;Firma dobrze zarzadza swoimi procesami, ale zbyt rzadko organizuja promocje.
Maria Nowak;Facebook;4,3;2023-01-21;9:45;9,00;Dobre wsparcie techniczne, ale nie zawsze latwo jest sie z nimi skontaktowac.
Anonimowy uzytkownik;Ceneo;4,1;2022-07-02;15:25;18,00;Czasami mam problemy z dostawa, ale produkty sa solidne.
Krzysztof Zielinski;Facebook;4,0;2022-08-29;16:10;24,00;Produkty sa dobre, ale niektore z nich sa trudne do zainstalowania.
Tomasz Wojcik;Facebook;4,5;2023-12-03;14:20;23,00;Obsluga na poziomie, ale niektore zamowienia mialy problem z realizacja.
Joanna Lewandowska;Opineo;4,5;2022-04-11;10:05;29,00;Firma oferuje solidne rozwiazania, ale nie zawsze reaguja szybko na zapytania.
Magdalena Szymanska;Google;4,3;2023-03-14;11:20;17,00;Wysoka jakosc, ale czas oczekiwania na odpowiedz od dzialu obslugi jest zbyt dlugi.
Piotr Kaczmarek;Google;4,2;2023-09-06;13:50;32,00;Dobre produkty, ale mogliby poprawic komunikacje z klientami.
Joanna Lewandowska;Google;4,1;2022-05-18;15:35;3,00;Firma oferuje innowacyjne rozwiazania, ale czekanie na nie jest czasem zbyt dlugie.
Magdalena Szymanska;Opineo;4,2;2023-11-10;12:15;12,00;Jakosc produktow jest swietna, ale firma moglaby oferowac wiecej informacji o swoich produktach.
Adam Kaminski;Google;4,3;2023-01-22;8:30;12,00;Profesjonalna obsluga, ale mogloby byc wiecej szkolen dla pracownikow.
Tomasz Wojcik;Opineo;3,5;2022-03-01;9:55;24,00;Ceny sa nieco wysokie, ale jakosc produktow rekompensuje ten koszt.
Jan Kowalski;Google;4,2;2023-02-18;7:30;34,00;Bardzo pozytywne doswiadczenie, choc czas oczekiwania na odpowiedz byl dlugi.
Joanna Lewandowska;Opineo;4,8;2023-06-13;11:10;26,00;Firma bardzo solidna, ale dostepnosc niektorych produktow jest ograniczona.
Maria Nowak;Facebook;4,3;2022-09-02;12:25;28,00;Produkty Danfoss sa na najwyzszym poziomie, ale firma moglaby lepiej zarzadzac czasem dostawy.
Joanna Lewandowska;Google;4,7;2023-04-06;14:30;37,00;Dobre podejscie do klienta, ale czasami trzeba czekac na produkty dluzej, niz sie spodziewam.
Joanna Lewandowska;Opineo;4,3;2022-05-27;16:40;44,00;Duza roznorodnosc produktow, ale ceny sa troche za wysokie.
Piotr Kaczmarek;Ceneo;4,1;2023-07-15;9:20;41,00;Firma oferuje doskonala jakosc, jednak czas realizacji zamowien moglby byc krotszy.
Magdalena Szymanska;Ceneo;4,2;2022-12-19;10:15;17,00;Obsluga klienta bardzo pomocna, ale niektore procesy wewnetrzne wymagaja usprawnienia.
Jan Kowalski;Google;4,6;2023-10-28;11:40;12,00;Produkty sa dobre, ale czasami trudno sie z nimi skontaktowac.
Maria Nowak;Opineo;3,9;2022-05-07;14:55;36,00;Solidna firma, ale niektore produkty sa trudne do zamowienia.
Magdalena Szymanska;Ceneo;5,0;2022-03-29;13:15;13,00;Zadowolony z jakosci, ale proces zamowienia moglby byc latwiejszy.
Adam Kaminski;Facebook;4,3;2023-07-26;8:40;18,00;Produkty Danfoss sa godne polecenia, ale czas dostawy bywa rozny.
Magdalena Szymanska;Facebook;3,8;2022-01-12;9:35;32,00;Firma oferuje wysoka jakosc, ale czas oczekiwania na realizacje zamowienia jest czasami dlugi.
Krzysztof Zielinski;Ceneo;3,3;2023-04-23;12:05;5,00;Produkty Danfoss naprawde ulatwiaja zycie, jednak procesy logistyczne moga byc szybsze.
Magdalena Szymanska;Ceneo;4,2;2022-10-04;16:00;41,00;Jestem bardzo zadowolony z jakosci produktow, ale czekanie na dostawe jest frustrujace.
Anonimowy uzytkownik;Opineo;4,1;2022-08-11;11:15;35,00;Firma bardzo dobra, ale czas oczekiwania na odpowiedz na zapytanie jest za dlugi.
Magdalena Szymanska;Google;4,4;2023-12-14;15:50;44,00;Firma zapewnia dobre warunki pracy, ale procesy moglyby byc bardziej zoptymalizowane.
Jan Kowalski;Ceneo;3,9;2022-06-20;14:05;25,00;Jestem zadowolony z produktow, choc czas dostawy moglby byc krotszy.
Maria Nowak;Opineo;4,8;2023-01-05;8:20;36,00;Profesjonalne podejscie do klienta, wszystko odbylo sie sprawnie.
Adam Kaminski;Facebook;3,5;2022-08-02;13:30;46,00;Obsluga klienta bardzo pomocna, ale ceny sa dosc wysokie.
Anna Wisniewska;Opineo;3,9;2023-09-30;10:25;20,00;Swietne miejsce pracy z duzymi mozliwosciami.
Joanna Lewandowska;Ceneo;3,6;2022-11-21;9:40;2,00;Produkty firmy Fabryka Danfoss w Tuchomie charakteryzuja sie wysoka jakoscia i sa niezawodne. Obsluga klienta bardzo pomocna. Polecam!
Piotr Kaczmarek;Facebook;3,8;2022-12-07;7:15;13,00;Produkty Danfoss sa niezawodne, ale obsluga magazynowa moglaby byc szybsza.
Anna Wisniewska;Facebook;4,1;2023-10-18;12:35;41,00;Dobre doswiadczenia z systemem chlodzenia, ale czasami brakuje wsparcia technicznego.
Anonimowy uzytkownik;Opineo;5,0;2023-05-16;15:15;22,00;Zawsze moglem liczyc na pomoc ze strony obslugi klienta.
Anna Wisniewska;Google;4,5;2022-06-10;14:40;44,00;Zakupy w Danfoss to gwarancja jakosci, chociaz ceny sa wyzsze niz u konkurencji.
Magdalena Szymanska;Google;4,1;2023-07-29;16:25;16,00;Dobra firma, ale potrzebuja poprawy w zakresie logistyki.
Joanna Lewandowska;Facebook;4,8;2022-03-12;13:10;46,00;Polecam, choc czasami dostawy sa opoznione.
Anonimowy uzytkownik;Google;4,0;2023-07-13;10:40;39,00;Zespol jest profesjonalny, ale brakuje im odpowiednich zasobow.
Maria Nowak;Ceneo;4,5;2023-02-26;11:25;39,00;Pozytywne doswiadczenie, jednak chcialbym, zeby firma bardziej inwestowala w innowacje.
Maria Nowak;Facebook;3,9;2022-09-25;14:15;14,00;Jakosc produktow Danfoss stoi na wysokim poziomie, ale obsluga klienta wymaga poprawy.
Anonimowy uzytkownik;Facebook;4,0;2023-04-17;12:50;33,00;Zakupilem produkty w Danfoss i jestem zadowolony z ich dzialania, ale czas oczekiwania na wysylke moglby byc krotszy.
Tomasz Wojcik;Ceneo;4,5;2022-06-03;9:50;11,00;Firma dobrze zarzadza swoimi procesami, ale zbyt rzadko organizuja promocje.
Jan Kowalski;Facebook;4,4;2022-12-11;7:45;24,00;Dobre wsparcie techniczne, ale nie zawsze latwo jest sie z nimi skontaktowac.
Tomasz Wojcik;Ceneo;4,1;2023-08-16;16:50;6,00;Czasami mam problemy z dostawa, ale produkty sa solidne.
Joanna Lewandowska;Opineo;4,9;2022-09-14;12:55;33,00;Produkty sa dobre, ale niektore z nich sa trudne do zainstalowania.
Maria Nowak;Facebook;4,8;2023-11-07;13:40;30,00;Obsluga na poziomie, ale niektore zamowienia mialy problem z realizacja.
Tomasz Wojcik;Google;4,7;2023-04-10;11:50;19,00;Firma oferuje solidne rozwiazania, ale nie zawsze reaguja szybko na zapytania.
Anonimowy uzytkownik;Facebook;4,8;2022-12-22;15:05;17,00;Wysoka jakosc, ale czas oczekiwania na odpowiedz od dzialu obslugi jest zbyt dlugi.
Piotr Kaczmarek;Opineo;5,0;2023-02-01;10:50;40,00;Dobre produkty, ale mogliby poprawic komunikacje z klientami.
Anonimowy uzytkownik;Facebook;4,0;2022-08-23;8:55;27,00;Firma oferuje innowacyjne rozwiazania, ale czekanie na nie jest czasem zbyt dlugie.
Maria Nowak;Google;3,6;2023-04-30;13:25;47,00;Jakosc produktow jest swietna, ale firma moglaby oferowac wiecej informacji o swoich produktach.
Maria Nowak;Opineo;4,2;2022-01-09;14:35;12,00;Profesjonalna obsluga, ale mogloby byc wiecej szkolen dla pracownikow.
Jan Kowalski;Ceneo;3,7;2023-05-26;16:15;32,00;Ceny sa nieco wysokie, ale jakosc produktow rekompensuje ten koszt.
Anonimowy uzytkownik;Ceneo;4,4;2023-03-11;10:20;46,00;Bardzo pozytywne doswiadczenie, choc czas oczekiwania na odpowiedz byl dlugi.
Adam Kaminski;Ceneo;4,2;2022-07-21;15:00;17,00;Firma bardzo solidna, ale dostepnosc niektorych produktow jest ograniczona.
Anonimowy uzytkownik;Ceneo;3,9;2023-12-02;11:05;20,00;Produkty Danfoss sa na najwyzszym poziomie, ale firma moglaby lepiej zarzadzac czasem dostawy.
Piotr Kaczmarek;Ceneo;4,4;2023-06-01;9:25;3,00;Dobre podejscie do klienta, ale czasami trzeba czekac na produkty dluzej, niz sie spodziewam.
Adam Kaminski;Google;4,5;2023-08-03;8:25;23,00;Duza roznorodnosc produktow, ale ceny sa troche za wysokie.
Anna Wisniewska;Opineo;4,1;2023-10-24;12:10;36,00;Firma oferuje doskonala jakosc, jednak czas realizacji zamowien moglby byc krotszy.
Adam Kaminski;Facebook;5,0;2023-06-19;13:45;11,00;Obsluga klienta bardzo pomocna, ale niektore procesy wewnetrzne wymagaja usprawnienia.
Tomasz Wojcik;Opineo;3,6;2022-12-27;9:15;32,00;Produkty sa dobre, ale czasami trudno sie z nimi skontaktowac.
Maria Nowak;Google;4,3;2022-05-29;14:25;15,00;Solidna firma, ale niektore produkty sa trudne do zamowienia.
Tomasz Wojcik;Facebook;3,8;2022-02-17;16:05;6,00;Zadowolony z jakosci, ale proces zamowienia moglby byc latwiejszy.
Anonimowy uzytkownik;Ceneo;4,6;2023-07-12;10:35;10,00;Produkty Danfoss sa godne polecenia, ale czas dostawy bywa rozny.
Maria Nowak;Ceneo;4,2;2022-11-24;12:40;34,00;Firma oferuje wysoka jakosc, ale czas oczekiwania na realizacje zamowienia jest czasami dlugi.
Adam Kaminski;Ceneo;5,0;2023-08-05;11:35;38,00;Produkty Danfoss naprawde ulatwiaja zycie, jednak procesy logistyczne moga byc szybsze.
Anonimowy uzytkownik;Facebook;4,4;2022-01-21;15:10;17,00;Jestem bardzo zadowolony z jakosci produktow, ale czekanie na dostawe jest frustrujace.
Adam Kaminski;Opineo;4,2;2023-05-04;13:00;34,00;Firma bardzo dobra, ale czas oczekiwania na odpowiedz na zapytanie jest za dlugi.
Anonimowy uzytkownik;Ceneo;4,5;2022-07-06;14:05;8,00;Firma zapewnia dobre warunki pracy, ale procesy moglyby byc bardziej zoptymalizowane.
Jan Kowalski;Facebook;3,6;2023-03-16;12:30;11,00;Jestem zadowolony z produktow, choc czas dostawy moglby byc krotszy.
Tomasz Wojcik;Ceneo;4,2;2022-06-18;10:00;5,00;Profesjonalne podejscie do klienta, wszystko odbylo sie sprawnie.
Piotr Kaczmarek;Opineo;5,0;2022-03-02;13:55;43,00;Obsluga klienta bardzo pomocna, ale ceny sa dosc wysokie.
Piotr Kaczmarek;Ceneo;3,7;2023-09-20;9:05;10,00;Swietne miejsce pracy z duzymi mozliwosciami.
Anonimowy uzytkownik;Ceneo;4,7;2022-08-09;15:20;23,00;Produkty firmy Fabryka Danfoss w Tuchomie charakteryzuja sie wysoka jakoscia i sa niezawodne. Obsluga klienta bardzo pomocna. Polecam!
Joanna Lewandowska;Facebook;3,6;2023-06-27;11:45;24,00;Produkty Danfoss sa niezawodne, ale obsluga magazynowa moglaby byc szybsza.
Anonimowy uzytkownik;Opineo;4,9;2023-03-28;10:55;16,00;Dobre doswiadczenia z systemem chlodzenia, ale czasami brakuje wsparcia technicznego.
Tomasz Wojcik;Opineo;4,8;2023-07-30;16:45;39,00;Zawsze moglem liczyc na pomoc ze strony obslugi klienta.
Jan Kowalski;Opineo;5,0;2023-01-25;14:50;12,00;Zakupy w Danfoss to gwarancja jakosci, chociaz ceny sa wyzsze niz u konkurencji.
Magdalena Szymanska;Opineo;4,1;2023-05-22;12:20;49,00;Dobra firma, ale potrzebuja poprawy w zakresie logistyki.
Piotr Kaczmarek;Google;3,1;2023-10-11;7:10;7,00;Polecam, choc czasami dostawy sa opoznione.
Krzysztof Zielinski;Facebook;4,7;2022-09-10;15:30;4,00;Zespol jest profesjonalny, ale brakuje im odpowiednich zasobow.
Adam Kaminski;Facebook;3,9;2023-05-09;8:05;15,00;Pozytywne doswiadczenie, jednak chcialbym, zeby firma bardziej inwestowala w innowacje.
Anonimowy uzytkownik;Opineo;4,7;2023-06-02;14:10;6,00;Firma zapewnia dobre warunki pracy, ale procesy moglyby byc bardziej zoptymalizowane.
Joanna Lewandowska;Facebook;4,6;2023-07-19;16:35;14,00;Jestem zadowolony z produktow, choc czas dostawy moglby byc krotszy.
Tomasz Wojcik;Facebook;3,8;2023-02-12;11:05;45,00;Profesjonalne podejscie do klienta, wszystko odbylo sie sprawnie.
Krzysztof Zielinski;Ceneo;4,2;2023-08-07;9:00;4,00;Obsluga klienta bardzo pomocna, ale ceny sa dosc wysokie.
Joanna Lewandowska;Opineo;4,6;2022-09-17;10:05;20,00;Swietne miejsce pracy z duzymi mozliwosciami.
Piotr Kaczmarek;Ceneo;4,3;2022-04-03;8:45;50,00;Produkty firmy Fabryka Danfoss w Tuchomie charakteryzuja sie wysoka jakoscia i sa niezawodne. Obsluga klienta bardzo pomocna. Polecam!
Anonimowy uzytkownik;Facebook;3,9;2022-12-09;12:25;33,00;Produkty Danfoss sa niezawodne, ale obsluga magazynowa moglaby byc szybsza.
Anonimowy uzytkownik;Opineo;4,5;2023-09-24;14:00;36,00;Dobre doswiadczenia z systemem chlodzenia, ale czasami brakuje wsparcia technicznego.
Tomasz Wojcik;Facebook;5,0;2022-06-06;11:55;7,00;Zawsze moglem liczyc na pomoc ze strony obslugi klienta.
Adam Kaminski;Opineo;4,9;2022-10-13;7:20;33,00;Zakupy w Danfoss to gwarancja jakosci, chociaz ceny sa wyzsze niz u konkurencji.
Maria Nowak;Facebook;3,7;2022-03-19;13:30;25,00;Dobra firma, ale potrzebuja poprawy w zakresie logistyki.
Anna Wisniewska;Facebook;3,6;2023-07-01;10:30;37,00;Polecam, choc czasami dostawy sa opoznione.
Piotr Kaczmarek;Opineo;3,4;2023-10-05;9:40;43,00;Zespol jest profesjonalny, ale brakuje im odpowiednich zasobow.
Krzysztof Zielinski;Opineo;3,7;2023-05-12;14:15;25,00;Pozytywne doswiadczenie, jednak chcialbym, zeby firma bardziej inwestowala w innowacje.
Piotr Kaczmarek;Ceneo;4,1;2022-08-21;13:10;15,00;Jakosc produktow Danfoss stoi na wysokim poziomie, ale obsluga klienta wymaga poprawy.
Joanna Lewandowska;Google;4,4;2023-10-22;7:30;5,00;Zakupilem produkty w Danfoss i jestem zadowolony z ich dzialania, ale czas oczekiwania na wysylke moglby byc krotszy.
Piotr Kaczmarek;Ceneo;4,6;2023-07-23;12:35;25,00;Firma dobrze zarzadza swoimi procesami, ale zbyt rzadko organizuja promocje.
Tomasz Wojcik;Opineo;4,1;2023-11-09;15:40;3,00;Dobre wsparcie techniczne, ale nie zawsze latwo jest sie z nimi skontaktowac.
Maria Nowak;Ceneo;4,5;2023-12-13;10:10;18,00;Czasami mam problemy z dostawa, ale produkty sa solidne.
Krzysztof Zielinski;Facebook;4,6;2022-04-28;14:40;36,00;Produkty sa dobre, ale niektore z nich sa trudne do zainstalowania.
